"address","zip_code","num_bed","num_bath","home_area","price"
"14641 Hartsook Street Sherman Oaks",91403,3,2,1803,1400000
"8312 Altavan Avenue Los Angeles",90045,3,2,1500,1550000
"4525 North Via Nova Drive Sherman Oaks",91403,3,3,1995,1560000
"1163 Angelo Drive Beverly Hills",90210,4,4,3414,4650000
"5420 West 140th Street Hawthorne",90250,5,4,2713,1599000
"26361 Dunwood Road Rolling Hills Estates",90274,3,2,1995,1738000
"3815 Rose Avenue Long Beach",90807,4,3,1945,1265000
"2720 East Broadway Long Beach",90803,2,1,1270,999000
"6140 East Walton Street Long Beach",90815,4,2,2214,1250000
"540 5th Street Manhattan Beach",90266,3,4,3176,4789000
"459 35th Street Manhattan Beach",90266,5,3,3700,3999999
"77 Rivo Alto Canal Long Beach",90803,4,4,3967,6500000
"3900 Clayton Avenue Los Angeles",90027,3,3,2822,2495000
"3473 Rowena Avenue Los Angeles",90027,4,3,3286,3399000
"5150 Los Adornos Way Los Angeles",90027,3,3,2918,3699000
"3736 Lowry Road Los Angeles",90027,4,4,3261,4495000
"1978 Chickasaw Avenue Los Angeles",90041,3,2,1825,1599000
"2048 Kenilworth Avenue Los Angeles",90039,2,3,2540,3249000
"2227 Lemoyne Street Los Angeles",90026,2,2,1100,1395000
"1311 North Ontario Street Burbank",91505,2,1,950,895000
"2191 Ponet Drive Los Angeles",90068,3,2,1926,2488000
"2200 Polyscope Place Los Angeles",90026,3,2,1407,1149000
"2343 West Ave 33 Glassell Park",90065,2,2,836,995000
"2021 Kenilworth Avenue Los Angeles",90039,4,3,2307,3499000
"3014 Longdale Lane Los Angeles",90068,4,2,2348,2595000
"5698 Holly Oak Drive Los Angeles",90068,5,4,3986,4295000
"1666 Micheltorena Street Los Angeles",90026,4,3,2883,3899000
"15455 Milldale Drive Los Angeles",90077,5,4,3855,5495000
"4281 Fountain Avenue Los Angeles",90027,3,2,1700,1699000
"3031 South Victoria Avenue Los Angeles",90016,3,1,1259,775000
"2047 Malcolm Avenue Los Angeles",90025,3,2,1320,1749000
"930 South Ogden Drive Los Angeles",90036,5,5,3422,3299000
"10509 Vestone Way Los Angeles",90077,7,8,11251,12900000
"4122 Holly Knoll Drive Los Angeles",90027,2,2,1724,2275000
"3450 Cahuenga Boulevard, Unit 412 Los Angeles",90068,2,2,1921,1995000
"10724 Lugo Way Culver City",90230,4,3,2658,2599000
"5005 Los Feliz Boulevard Los Angeles",90027,5,6,6884,5950000
"14723 Hartsook Street Sherman Oaks",91403,4,5,3335,3395000
"123 North Dillon Street Los Angeles",90026,4,2,2064,950000
"6526 West 84th Street Los Angeles",90045,3,2,1942,1799000
"925 Enchanted Way Pacific Palisades",90272,4,4,3650,7650000
"5426 Carpenter Avenue Valley Village",91607,5,4,3273,2195000
"3948 Park Vista Drive Pasadena",91107,3,2,2057,1299000
"7124 Woodrow Wilson Drive Los Angeles",90068,1,1,861,1100000
"2424 Nottingham Avenue Los Angeles",90027,1,1,10403,19800000
