"address","zip_code","num_bed","num_bath","home_area","price"
"438 E 56th St, Los Angeles",90011,2,1,1100,490000
"241 E 56th St, Los Angeles",90011,4,2,1329,553000
"218 E 56th St, Los Angeles",90011,4,2,1631,585000
"127 E 57th St, Los Angeles",90011,2,1,792,440000
"622 E 51st St, Los Angeles",90011,2,1,1120,570000
"708 E 51st St, Los Angeles",90011,2,1,1036,486000
"677 E 52nd Pl, Los Angeles",90011,3,2,1029,605000
"672 E 52nd St, Los Angeles",90011,3,1,1088,549000
"768 E 52nd Pl, Los Angeles",90011,3,1,1048,533000
"658 E 54th St, Los Angeles",90011,2,1,660,505
"640 E 54th St, Los Angeles",90011,4,2,1279,475000
"701 E 55th St, Los Angeles",90011,2,1,908,495000
"628 E 55th St, Los Angeles",90011,4,2,1026,630000
"912 East 56th St, Los Angeles",90011,4,2,1690,565000
"905 E 57th St, Los Angeles",90011,2,2,840,460000
"1038 E 53rd St, Los Angeles",90011,2,1,884,390000
"5263 Wadsworth Ave, Los Angeles",90011,3,2,784,519900
"1351 E 53rd St, Los Angeles",90011,2,1,1350,480000
"1452 E 52nd St, Los Angeles",90011,2,1,818,405
"1351 E 55th St, Los Angeles",90011,3,2,1412,502500
"1267 E 54th St, Los Angeles",90011,2,1,816,535000
"1183 E 54th St, Los Angeles",90011,4,2,1446,605
"1174 E 55th St, Los Angeles",90011,3,1,1505,627000
"1402 E 58th St, Los Angeles",90011,4,2,2029,605
"1420 E 58th St, Los Angeles",90011,2,1,970,485000
"1350 E 58th St, Los Angeles",90011,2,2,1082,560000
"1308 E 58th St, Los Angeles",90011,2,2,988,599000
"1647 E 53rd St, Los Angeles",90011,2,2,797,410000
"1548 E 54th St, Los Angeles",90011,2,1,700,505
"1553 E 55th St, Los Angeles",90011,1,1,584,550000
"5525 Morgan Ave, Los Angeles",90011,3,2,951,510000
"5520 Fortuna St, Los Angeles",90011,3,1,780,505
"1525 E 56TH, Los Angeles",90011,3,1,1347,560000
"1589 E 46th St, Los Angeles",90011,2,1,640,543077
"1632 E 47th St, Los Angeles",90011,3,2,1288,655000
"1550 E 47th St, Los Angeles",90011,3,2,1558,470000
"4872 Compton Ave, Los Angeles",90011,3,2,884,502000
"4867 Long Beach Ave, Los Angeles",90058,5,1,1404,550000
"1561 E 51st St, Los Angeles",90011,3,1,948,565000
"1553 E 52nd St, Los Angeles",90011,2,1,864,490000
"1344 E 23rd St, Los Angeles",90011,4,2,2214,678000
"1670 E 43rd St, Los Angeles",90011,2,2,748,390000
"217 E 52nd St, Los Angeles",90011,2,1,512,290000
"1236 E 46th St, Los Angeles",90011,5,1,1889,765000
"1237 E 47th St, Los Angeles",90011,2,1,1225,535000
"1239 E 47th St, Los Angeles",90011,2,2,976,460000
"1422 E 46th St, Los Angeles",90011,4,2,1256,550000
"1466 E 47th St, Los Angeles",90011,4,2,1704,610000
"1286 E 47th St, Los Angeles",90011,2,1,768,520000
"4859 Ascot Ave, Los Angeles",90011,2,1,564,249000
"1380 E 48th Pl, Los Angeles",90011,4,2,1118,685000
"1350 E 48th Pl, Los Angeles",90011,3,2,1123,590000
"1351 E 49th St, Los Angeles",90011,3,1,756,510077
"1363 E 49th St, Los Angeles",90011,4,3,1391,571000
"1368 E 49th St, Los Angeles",90011,3,1,1702,569900
"795 E 46th St, Los Angeles",90011,4,2,1251,705
"618 E 50th St, Los Angeles",90011,4,2,1133,550000
"731 E 51st St, Los Angeles",90011,6,4,2977,1060000
"891 E 50th St, Los Angeles",90011,3,1,1170,550000
"1039 E 50th St, Los Angeles",90011,3,2,1450,305
"911 E 49th Pl, Los Angeles",90011,2,1,736,470000
"939 E 49th St, Los Angeles",90011,3,2,1419,685000
"4828 Mckinley Ave, Los Angeles",90011,2,1,1140,522500
"167 E 46th St, Los Angeles",90011,3,2,1160,550000
"4727 Wall St, Los Angeles",90011,3,1,1401,544000
"159 E 49th St, Los Angeles",90011,3,1,1232,540000
"184 E 49th St, Los Angeles",90011,2,1,624,455000
"303 E 48th St, Los Angeles",90011,3,1,1372,550000
"319 E 48th St, Los Angeles",90011,4,2,1500,520000
"281 E 47th St, Los Angeles",90011,4,2,1369,620000
"4419 Mettler St, Los Angeles",90011,4,1,1195,650000
"424 E 46th St, Los Angeles",90011,4,2,1602,575000
"504 E 47th St, Los Angeles",90011,3,1,1320,605
"490 E 49th St, Los Angeles",90011,1,1,576,370000
"516 E 48th St, Los Angeles",90011,3,2,960,499000
"5108 Towne Ave, Los Angeles",90011,2,1,816,402000
"5119 Towne Ave, Los Angeles",90011,2,1,912,455000
"5115 Towne Ave, Los Angeles",90011,3,2,1080,550000
"418 E 41st St, Los Angeles",90011,2,1,898,490000
"421 E 43rd St, Los Angeles",90011,4,3,1746,731000
"405 E 43rd Pl, Los Angeles",90011,2,1,1250,575000
"215 E Vernon Ave, Los Angeles",90011,3,1,1008,560000
"237 E 43rd Pl, Los Angeles",90011,3,1,1346,635000
"4122 Trinity St, Los Angeles",90011,2,1,948,525000
"3622 Griffith Ave, Los Angeles",90011,4,2,1176,610000
"3819 Paloma St, Los Angeles",90011,3,3,908,565000
"3808 Paloma St, Los Angeles",90011,3,1,1174,630000
"857 E 41st St, Los Angeles",90011,2,1,976,470000
"904 E Martin Luther King Jr Blvd, Los Angeles",90011,10,6,2871,760000
"894 E 35th St, Los Angeles",90011,5,2,2112,650000
"1134 E 35th St, Los Angeles",90011,2,2,984,607000
"1141 E Martin Luther King Jr Blvd, Los Angeles",90011,3,2,1164,639900
"1185 E 41st St, Los Angeles",90011,4,2,1982,705000
"3307 Compton Ave, Los Angeles",90011,3,2,1113,580000
"739 E 41st Pl, Los Angeles",90011,2,1,928,505
"796 E 41st St, Los Angeles",90011,3,1,1188,675000
"781 E 42nd St, Los Angeles",90011,3,2,930,560000
"4209 Mckinley Ave, Los Angeles",90011,3,1,1182,690000
"820 E 42nd Pl, Los Angeles",90011,3,2,1082,519000
